id,categoryId,topic,headline,body,summary,tags,readTimeSeconds,featured,relatedFactIds,themes,socialHook
venus-day-longer-than-year,space,Venus,A Day on Venus Is Longer Than a Year,Venus spins incredibly slowly. One full turn takes about 243 Earth days. But Venus circles the Sun in just 225 Earth days. That means a single day on Venus lasts longer than its entire year. No other planet has this strange mismatch between its day and its year.,It spins so slowly that sunrise to sunrise outlasts a full lap around the Sun.,"space,venus,rotation,orbit,astronomy",38,false,"venus-backwards-rotation,jupiter-shortest-day,uranus-sideways-planet,motion-acceleration-changing-velocity,dams-many-purposes","gravity-and-orbits,stars-and-cosmos","On Venus, next year would arrive before tomorrow does."
venus-backwards-rotation,space,Venus,Venus Spins Backward,"Most planets spin the same way, but Venus turns the opposite direction. If you stood on its surface, the Sun would rise in the west and set in the east. Scientists aren't sure why. One idea is that a giant crash long ago flipped the planet's spin. It's one of the strangest motions in the solar system.","If you stood on Venus, the Sun would rise in the west.","space,venus,rotation,planets,astronomy",38,false,"venus-day-longer-than-year,uranus-sideways-planet,jupiter-shortest-day,motion-velocity-has-direction,jupiter-thousand-earths","gravity-and-orbits,stars-and-cosmos,disaster-and-catastrophe",
mars-search-for-life,space,Mars,Sunsets on Mars Are Blue,"On Earth, daytime skies are blue and sunsets blaze red. Mars flips it. Its fine red dust scatters light the opposite way, so the Martian sky looks butterscotch by day — then glows a soft blue around the setting Sun. NASA rovers have photographed these eerie blue sunsets. It's a beautiful reminder that the color of the sky depends entirely on the air you're standing under.","On the red planet the daytime sky is butterscotch, and the Sun sets in cool blue.","space,mars,sunset,atmosphere",41,false,"pluto-blue-sky,exoplanets-rogue-planets,glaciers-flow-slowly,afterimages-retina-desensitized,solar-system-galactic-year,translation-more-than-word-swapping","stars-and-cosmos,color-and-light,bioluminescence-and-glow",
asteroids-less-mass-than-moon,space,Asteroids,All the Asteroids Together Weigh Less Than the Moon,"There are millions of asteroids in the solar system, but together they don't add up to much. If you squished every known asteroid into one ball, it would still weigh less than our Moon. Most of that weight sits in just a few big ones, like Ceres and Vesta. It shows just how empty space really is.","Millions of space rocks, and together they still can't outweigh the Moon.","space,asteroids,moon,mass,solar-system",40,false,"asteroids-dart-changed-orbit,solar-system-galactic-year,moon-volcanoes-io,lasers-light-copy-itself,red-giants-sun-future,exoplanets-rogue-planets",stars-and-cosmos,
asteroids-dart-changed-orbit,space,Asteroids,Humans Have Successfully Moved an Asteroid,"In 2022, NASA crashed a spacecraft into a small asteroid called Dimorphos on purpose. It worked: the asteroid's path actually changed. It was the first time humans ever moved an object in space. The mission, called DART, was a test of how we might protect Earth from a dangerous asteroid one day. It was a huge milestone.","In 2022, we crashed a spacecraft into one on purpose — and it worked.","space,asteroids,dart,planetary-defense,nasa",42,false,"asteroids-less-mass-than-moon,moon-volcanoes-io,apollo13-earth-horizon-navigation,vacuum-of-space-leblanc-saliva-boiled,space-race-sputnik","stars-and-cosmos,transformation-metamorphosis,disaster-and-catastrophe",
exoplanets-rogue-planets,space,Exoplanets,"Somewhere Out There, a Planet Is Drifting Through Eternal Darkness — Alone","Not every planet circles a star. Some, called rogue planets, drift alone through space with no sun at all. Many were likely flung out of their original solar systems long ago. With no nearby star, these worlds get no warmth or light. They're among the strangest, darkest places we can imagine.","No star, no sunrise, no warmth — just an orphaned world drifting forever in the black.","space,exoplanets,rogue-planets,astronomy",37,false,"exoplanets-strange-worlds,asteroids-less-mass-than-moon,solar-system-galactic-year,supernovae-create-elements,white-dwarfs-sun-earth-size,pluto-heart-shape",stars-and-cosmos,
exoplanets-strange-worlds,space,Exoplanets,Scientists Have Found Lava Worlds and Styrofoam Worlds,"Alien planets are far stranger than anyone guessed. Known exoplanets include worlds with oceans of molten rock, planets made mostly of iron, and one so light it's been compared to Styrofoam. Some race around their star in just a few hours. Others drift alone in the dark. The universe is full of worlds that stretch the imagination.",Some are oceans of lava; one is so light it's compared to Styrofoam.,"space,exoplanets,lava-worlds,astronomy,strange",42,false,"exoplanets-rogue-planets,saturn-titan-lakes,uranus-coldest-planet,comets-shoemaker-jupiter,asteroids-less-mass-than-moon","stars-and-cosmos,extreme-temperature",
comets-shoemaker-jupiter,space,Comets,The World Watched a Comet Smash Into Jupiter in Real Time,"In 1994, people around the world watched a comet named Shoemaker-Levy 9 smash directly into Jupiter. The impacts left dark scars in Jupiter's clouds — scars big enough to see through telescopes all the way from Earth. It remains one of the most dramatic events ever witnessed in the solar system. It also proved that massive cosmic collisions aren't just ancient history — they still happen today.",People on Earth watched the impact scars appear on Jupiter in real time.,"space,comets,jupiter,shoemaker-levy,astronomy",40,false,"oort-cloud-comets-before-humans,jupiter-great-red-spot,jupiter-thousand-earths,jupiter-shortest-day,solar-system-galactic-year,pluto-heart-shape",stars-and-cosmos,
dwarf-planets-hundreds-more,space,Dwarf Planets,There May Be Over 100 Undiscovered Planets in Our Own Solar System,"Our solar system might be hiding over a hundred worlds nobody has ever seen. Only five dwarf planets are officially recognized — Ceres, Pluto, Haumea, Makemake, and Eris — but the International Astronomical Union says the real count could run into the hundreds. Most of the undiscovered ones probably orbit far past Neptune, in an icy region called the Kuiper Belt, too small and too distant for today's telescopes to catch. As telescopes improve, that short official list could get a lot longer.",Only five dwarf planets are official — but the solar system may be hiding a hundred more.,"space,dwarf-planets,discovery,astronomy,solar-system",48,false,"oort-cloud-comets-before-humans,solar-system-life-only-earth,red-giants-sun-future,nazca-lines-dry-preserved,asteroids-less-mass-than-moon,kuiper-belt-arrokoth-red-snowman","stars-and-cosmos,gravity-and-orbits",
jupiter-thousand-earths,space,Jupiter,One Thousand Earths Could Fit Inside Jupiter,"Jupiter is by far the biggest planet in our solar system. If it were hollow, about 1,000 Earths could fit inside. Yet it's not solid — it's made mostly of hydrogen and helium, like the Sun. Its huge gravity tugs on asteroids and comets all around it. Studying Jupiter helps scientists learn how giant planets form.",Our whole planet would be a marble inside it.,"space,jupiter,planets,size,astronomy",38,false,"jupiter-shortest-day,jupiter-great-red-spot,moon-ganymede-biggest,whales-largest-animal-ever,velociraptor-not-movie-sized,venus-backwards-rotation","stars-and-cosmos,record-extremes,gravity-and-orbits,counterintuitive-scale",
